lat,energy
2.0,121.11242439
2.0816326530612246,100.64713296
2.163265306122449,81.23524661
2.2448979591836733,63.70202336
2.326530612244898,48.28113552
2.4081632653061225,34.96536099
2.489795918367347,23.63522577
2.571428571428571,14.12352307
2.6530612244897958,6.24052693
2.7346938775510203,-0.22450482
2.816326530612245,-5.43248225
2.8979591836734695,-9.56098561
2.979591836734694,-12.76628511
3.061224489795918,-15.18506201
3.142857142857143,-16.94769594
3.224489795918367,-18.16867482
3.3061224489795915,-18.95371062
3.387755102040816,-19.37234932
3.4693877551020407,-19.49958635
3.5510204081632653,-19.39763095
3.63265306122449,-19.11470659
3.7142857142857144,-18.69207075
3.7959183673469385,-18.16343689
3.877551020408163,-17.55916352
3.9591836734693877,-16.90185065
4.040816326530612,-16.21113832
4.122448979591836,-15.50069129
4.204081632653061,-14.78442755
4.285714285714286,-14.07200441
4.36734693877551,-13.37250667
4.448979591836734,-12.69168163
4.530612244897959,-12.03453024
4.612244897959183,-11.40485351
4.6938775510204085,-10.80516599
4.775510204081632,-10.23776786
4.857142857142857,-9.70448202
4.938775510204081,-9.20643193
5.020408163265306,-8.74354818
5.1020408163265305,-8.31575613
5.183673469387754,-7.9226181
5.26530612244898,-7.56335784
5.346938775510203,-7.23703237
5.428571428571429,-6.9425032
5.5102040816326525,-6.67839943
5.591836734693877,-6.44270393
5.673469387755102,-6.23206997
5.755102040816326,-6.04310012
5.836734693877551,-5.87349838
5.918367346938775,-5.72160452
6.0,-5.58534655
