lat,energy
2.0,120.70136747
2.0816326530612246,100.45254417
2.163265306122449,81.16277583
2.2448979591836733,63.69656891
2.326530612244898,48.37350779
2.4081632653061225,35.21350578
2.489795918367347,24.09857337
2.571428571428571,14.81988377
2.6530612244897958,7.14694012
2.7346938775510203,0.8545889
2.816326530612245,-4.25420421
2.8979591836734695,-8.32749994
2.979591836734694,-11.53003817
3.061224489795918,-14.00166621
3.142857142857143,-15.8500308
3.224489795918367,-17.16938793
3.3061224489795915,-18.05990128
3.387755102040816,-18.58898744
3.4693877551020407,-18.81916624
3.5510204081632653,-18.81262483
3.63265306122449,-18.61847511
3.7142857142857144,-18.27681086
3.7959183673469385,-17.82021654
3.877551020408163,-17.27888331
3.9591836734693877,-16.67700561
4.040816326530612,-16.03449543
4.122448979591836,-15.36558318
4.204081632653061,-14.68484829
4.285714285714286,-14.00252638
4.36734693877551,-13.32831564
4.448979591836734,-12.66804704
4.530612244897959,-12.02692703
4.612244897959183,-11.41016118
4.6938775510204085,-10.82047018
4.775510204081632,-10.26038166
4.857142857142857,-9.73201349
4.938775510204081,-9.23652789
5.020408163265306,-8.77445817
5.1020408163265305,-8.34621461
5.183673469387754,-7.95143503
5.26530612244898,-7.58972508
5.346938775510203,-7.26012063
5.428571428571429,-6.96162375
5.5102040816326525,-6.6930894
5.591836734693877,-6.45264015
5.673469387755102,-6.23783748
5.755102040816326,-6.04617267
5.836734693877551,-5.87489018
5.918367346938775,-5.72190813
6.0,-5.58462968
