lat,energy
0.9641025641025641,13.30075378
1.0461538461538462,9.49150119
1.1282051282051282,6.75463839
1.2923076923076924,3.39980016
1.3743589743589744,2.41594694
1.4564102564102566,1.71207677
1.5384615384615385,1.20950482
1.6205128205128205,0.85181145
1.7025641025641027,0.59636484
1.7846153846153847,0.41354067
1.8666666666666667,0.28338656
1.9487179487179487,0.19038077
2.0307692307692307,0.12438491
2.112820512820513,0.07895042
2.194871794871795,0.04690523
2.276923076923077,0.02470378
2.358974358974359,0.01214936
2.4410256410256412,0.0034816
2.523076923076923,-0.00193837
2.605128205128205,-0.00509291
2.6871794871794874,-0.00689212
2.769230769230769,-0.00751129
2.851282051282051,-0.00781303
2.9333333333333336,-0.00703234
3.0153846153846153,-0.00617848
3.097435897435897,-0.00520683
3.1794871794871797,-0.00407342
3.2615384615384615,-0.00311857
3.3435897435897433,-0.00206698
3.425641025641026,-0.0013989599999999999
3.5076923076923077,-0.0001520699999999998
3.5897435897435894,0.0009191799999999999
3.671794871794872,0.00171172
3.753846153846154,0.00250114
3.8358974358974356,0.00322778
3.9179487179487182,0.00347074
4.0,0.00403752
